42	23
80	18
81	19
82	21
83	22
84	22
85	23
128	8
130	11
133	14
134	16
135	16
136	16
138	20
139	54
140	55
141	57
142	57
144	94
145	95
146	96
147	97
150	137
151	138
152	139
159	179
160	180
163	182
186	3
187	4
188	5
189	6
190	7
191	8
192	9
193	10
194	12
195	13
196	48
197	15
198	51
199	51
200	87
201	89
202	90
203	90
204	91
205	92
206	130
208	132
209	133
210	134
211	135
212	136
213	137
214	172
215	173
216	174
217	175
218	175
223	226
224	227
225	227
226	228
245	0
246	1
247	1
248	2
249	38
250	40
251	41
252	42
253	43
254	44
255	45
256	47
257	83
258	85
259	85
260	86
261	87
262	88
263	126
264	127
265	128
266	129
267	130
268	131
269	166
270	133
271	134
272	135
273	136
274	137
275	172
276	172
277	174
278	175
279	176
280	177
281	223
282	225
283	225
284	226
285	227
286	227
287	228
307	34
308	35
309	71
310	72
311	73
312	75
313	75
314	77
315	79
316	79
317	80
318	119
319	120
320	120
321	122
322	122
323	159
324	159
325	159
329	164
331	166
333	214
337	172
338	219
339	220
340	275
341	221
343	223
344	224
345	279
346	226
347	280
348	282
369	69
370	70
371	108
372	109
373	110
374	111
375	112
376	147
377	115
378	116
379	118
380	153
381	154
382	155
383	156
387	260
388	261
389	208
390	263
391	264
402	275
405	338
407	340
408	341
410	342
431	142
432	143
433	143
434	190
436	193
437	195
438	195
439	196
440	197
441	199
442	199
443	200
444	256
445	257
446	319
447	320
448	260
450	323
451	325
452	325
453	326
454	327
457	395
461	399
462	399
471	471
472	472
495	186
496	186
497	187
498	244
499	244
500	192
501	247
502	248
503	249
504	250
505	251
506	253
507	254
508	254
510	318
511	319
512	320
513	321
514	322
515	323
516	324
517	325
518	326
519	327
521	394
522	395
523	396
525	399
526	399
527	399
528	400
531	467
533	469
534	470
535	471
536	471
537	472
560	240
561	240
562	242
563	303
564	305
565	306
566	309
567	309
568	310
569	311
570	312
571	313
572	314
573	381
574	317
575	383
576	384
577	385
578	386
579	387
583	455
584	456
585	457
586	458
587	459
588	459
589	397
592	528
593	530
594	530
595	531
596	532
597	533
598	534
626	367
627	367
628	369
630	371
631	373
633	375
634	375
635	377
636	378
637	443
638	445
639	446
640	447
641	448
642	449
643	450
644	451
645	453
648	520
649	521
650	523
651	523
652	524
653	525
654	526
655	592
657	594
658	594
659	595
662	598
690	431
691	432
692	432
694	435
695	437
696	438
697	503
699	507
700	507
701	509
702	510
703	510
705	513
706	514
707	514
710	583
711	585
712	585
713	586
714	587
715	588
716	589
717	590
724	662
725	663
