
iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
41 4525.6 0.0465959 -0.298585 0.537127 0.00282292 9.76628e-005 0.000975932 -1.0868 6.32072 -10.323 -0.618661 -11.514 0.565527 
42 4525.6 0.0465983 -0.298599 0.53715 0.00282289 9.74643e-005 0.00097594 -1.08893 6.32096 -10.3233 -2.23123 -24.6434 1.53332 
43 4525.6 0.0466031 -0.298626 0.537195 0.00282284 9.70673e-005 0.000975958 -1.0932 6.32144 -10.3239 -5.45636 -50.9022 3.46891 
44 4525.6 0.0466126 -0.298682 0.537286 0.00282273 9.62732e-005 0.000975994 -1.10173 6.32239 -10.325 -11.9066 -103.42 7.34008 
45 4525.6 0.0466318 -0.298793 0.537468 0.00282252 9.46851e-005 0.000976066 -1.11879 6.32431 -10.3272 -24.8072 -208.455 15.0824 
46 4525.6 0.04667 -0.299016 0.537832 0.0028221 9.15088e-005 0.000976209 -1.1529 6.32813 -10.3317 -50.6082 -418.525 30.5671 
47 4525.59 0.0467465 -0.299462 0.53856 0.00282126 8.51562e-005 0.000976495 -1.22113 6.33579 -10.3406 -102.21 -838.666 61.5366 
48 4525.58 0.0468995 -0.300353 0.540015 0.00281957 7.24511e-005 0.000977067 -1.3576 6.35109 -10.3585 -205.413 -1678.95 123.476 
49 4525.58 0.0468882 -0.300287 0.539907 0.00281969 7.33926e-005 0.000977024 -1.34749 6.34996 -10.3572 -197.766 -1616.68 118.886 
50 4525.58 0.0468995 -0.300353 0.540015 0.00281968 7.33866e-005 0.000976998 -1.34749 6.34998 -10.357 -197.808 -1616.66 118.758 
51 4525.58 0.0469222 -0.300485 0.540231 0.00281966 7.33746e-005 0.000976945 -1.34751 6.35002 -10.3566 -197.893 -1616.62 118.504 
52 4525.57 0.0469675 -0.300749 0.540663 0.00281962 7.33507e-005 0.00097684 -1.34753 6.3501 -10.3558 -198.063 -1616.53 117.995 
53 4525.56 0.0470582 -0.301278 0.541526 0.00281954 7.33028e-005 0.000976628 -1.34759 6.35025 -10.3543 -198.403 -1616.37 116.978 
54 4525.54 0.0472396 -0.302335 0.543252 0.00281937 7.3207e-005 0.000976206 -1.34769 6.35057 -10.3512 -199.083 -1616.04 114.944 
55 4525.49 0.0476024 -0.304448 0.546703 0.00281903 7.30155e-005 0.000975361 -1.34791 6.35119 -10.345 -200.443 -1615.38 110.875 
56 4525.39 0.0483281 -0.308675 0.553607 0.00281835 7.26324e-005 0.000973672 -1.34833 6.35245 -10.3327 -203.162 -1614.06 102.736 
57 4525.19 0.0497793 -0.31713 0.567415 0.002817 7.18663e-005 0.000970293 -1.34919 6.35496 -10.308 -208.601 -1611.43 86.4598 
58 4524.8 0.0526817 -0.334038 0.59503 0.00281429 7.0334e-005 0.000963535 -1.3509 6.35999 -10.2585 -219.478 -1606.15 53.9065 
59 4524.02 0.0584866 -0.367856 0.65026 0.00280888 6.72695e-005 0.00095002 -1.35431 6.37004 -10.1597 -241.23 -1595.59 -11.2012 
60 4522.47 0.0700964 -0.435491 0.760721 0.00279805 6.11404e-005 0.000922989 -1.36113 6.39014 -9.96205 -284.725 -1574.44 -141.421 
61 4519.46 0.093316 -0.57076 0.981643 0.00277639 4.88823e-005 0.000868927 -1.37475 6.43036 -9.56673 -371.68 -1532 -401.876 
62 4513.72 0.139755 -0.841299 1.42349 0.00273307 2.4366e-005 0.000760803 -1.40189 6.51082 -8.77611 -545.452 -1446.57 -922.854 
63 4503.4 0.232634 -1.38238 2.30717 0.00264643 -2.46665e-005 0.000544554 -1.45582 6.67185 -7.19496 -892.441 -1273.53 -1965.08 
64 4487.43 0.41839 -2.46453 4.07454 0.00247315 -0.000122732 0.000112058 -1.56221 6.99438 -4.03297 -1584.21 -918.661 -4050.6 
65 4474.1 0.789904 -4.62884 7.60929 0.0021266 -0.000318862 -0.000752935 -1.7692 7.64131 2.28975 -2958.9 -173.863 -8225.95 
66 4474.08 0.803789 -4.70973 7.7414 0.00211365 -0.000326192 -0.000785263 -1.77678 7.66554 2.52602 -3010.05 -145.12 -8382.11 
